ID,sex,GMSFwant,GMSfneed,GMSFurge,GMSFdoing,GMSFhow,GMSFgood,GMSFbetter,GMSFworse,GMSFsucceed,GMSFpast,GMSFthought,GMSFremind,GMSFgrab,GMSFkeep,GA1,GA2,GA3,GA4,GA5,GA6,GA7,GA8,GT1,GT2,GT3,GT4,GF1,GF2,GF3,GF4,GSE1,GSE2,GSE3,GR1,GR2,GR3,walktimes,wlakhr,walkm,vittimes,vighr,vigm,modtimes,modhr,modm,vigmin,MTFint,MTFIncImag,MTFSEImag,MTFavail,EIIAH,EIITech,EIIFeel,EIISE,EIIRout,EIIMotiv,EIICognitive,EIIT
1,1,7,9,8,9,5,NA,9,NA,8,9,8,1,1,1,7,2,1,7,4,7,7,2,1,1,NA,2,7,2,7,7,1,7,2,1,1,1,2,1,15,0,0,0,2,2,NA,0,24,31,27,10,37,5.333333333,23,10,3,60.43,7.063333333,78.33333333
2,2,4,6,3,4,4,4,6,2,6,6,3,5,4,2,4,5,7,5,6,5,5,5,3,4,5,3,4,4,5,4,3,5,4,3,2,2,11,2,7,3,0,4,0,0,0,4,13,20,12,12,42,15,17,12,7,60.82,18.5,93
3,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,6,6,7,7,7,6,7,5,5,5,5,7,6,7,6,5,7,7,6,4,4,7,0,210,2,2,0,2,3,NA,120,33,44,33,33,53,20,26,19,14,84.52,29.1,132
4,1,6,6,6,5,5,4,5,1,1,6,8,1,5,1,2,5,5,5,5,5,1,5,1,2,6,1,1,2,7,7,7,1,1,7,4,2,3,2,0,0,0,0,3,2,NA,0,18,17,10,14,33,10,17,9,13,50.74,20.25,82
5,1,4,11,1,10,10,4,8,1,4,10,10,10,1,1,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,1,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,16,34,13,21,32,4,13,3,3,40.67,6.01,55
6,2,9,10,9,9,9,7,10,10,6,4,4,5,5,7,6,5,6,6,4,6,6,4,5,6,6,4,6,5,6,6,2,4,4,6,5,5,21,3,30,4,1,30,3,4,NA,90,28,28,27,14,43,21,23,10,16,65.29,31.79,113
7,2,9,7,5,10,9,6,10,3,7,9,8,10,6,7,7,7,6,7,7,7,7,5,1,1,1,1,6,5,7,5,6,7,1,5,3,3,20,5,0,3,1,0,0,0,NA,60,21,35,19,24,53,4,23,14,11,77.11,13.61,105
8,1,4,6,3,5,7,7,7,1,6,9,6,4,1,2,5,5,5,3,2,4,4,5,1,1,4,1,1,4,3,1,4,2,1,5,3,2,8,5,0,0,0,0,0,0,NA,0,13,27,15,11,33,7,9,7,10,41.52,15.03,66
9,1,8,8,8,8,8,8,8,8,8,5,8,5,5,8,6,7,7,5,7,5,7,5,5,3,6,5,4,5,5,5,3,2,2,1,1,2,10,2,30,3,3,15,NA,0,NA,195,24,29,24,18,49,19,19,7,4,63.68,18.81,98
10,1,4,6,5,NA,3,3,6,4,4,4,8,7,5,2,4,5,4,5,5,5,5,4,3,2,2,2,4,4,5,4,4,4,2,2,2,2,15,4,30,4,1,40,0,0,0,100,15,14.66666667,13,20,37,9,17,10,6,54.91,12.81,79
11,1,4,4,4,2,2,2,2,2,NA,3,3,3,3,4,3,4,3,4,4,4,4,3,3,1,1,3,1,3,4,1,1,3,3,1,3,1,6,2,0,3,2,30,0,0,0,150,12,9.333333333,6,9,29,8,9,7,5,38.28,11.07,58
12,1,11,10,9,9,9,9,9,9,9,1,1,1,1,1,7,2,7,7,7,7,7,7,4,1,1,2,1,7,2,1,1,1,1,1,1,5,10,36,20,3,2,30,7,34,50,150,30,28,27,3,51,8,11,3,7,54.22,12.97,80
13,1,8,8,6,9,9,9,9,8,7,9,9,7,8,4,6,4,5,6,4,5,5,4,1,2,3,1,6,6,6,6,2,5,1,2,1,1,2,4,NA,0,0,0,2,0,NA,0,22,34,26,24,39,7,24,8,4,61.11,9.33,82
14,1,9,9,8,8,8,8,8,8,6,6,6,6,6,6,4,4,5,6,4,6,5,4,4,4,4,5,4,6,5,5,5,5,4,5,4,5,14,14,NA,1,1,0,0,0,0,60,26,28,24,18,38,17,20,14,14,62.2,26.73,103
15,2,7,8,5,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,5,NA,0,0,0,0,0,NA,0,20,24,18,18,32,16,16,12,12,51.8,24.04,88
16,1,9,9,9,10,9,9,9,9,9,9,9,9,9,9,6,2,2,7,3,7,7,4,7,NA,2,3,6,6,6,5,5,2,6,7,7,2,10,2,0,6,8,0,0,0,NA,480,27,37,27,27,38,16,23,13,16,64.03,27.84,106
17,2,8,8,8,8,8,8,8,8,6,7,9,9,8,6,6,6,1,6,5,6,6,5,7,7,7,7,1,7,1,6,7,2,5,7,7,7,5,1,0,3,4,0,0,0,0,240,24,29,24,26,41,28,15,14,21,60.03,42.07,119
18,2,7,9,9,6,5,4,6,6,6,8,6,8,6,6,4,4,4,5,5,5,5,5,2,3,2,2,5,4,5,4,2,4,2,1,1,1,8,1,NA,10,2,0,2,2,NA,120,25,25,16,20,37,9,18,8,3,53.97,9.96,75
19,1,9,11,6,8,8,9,11,11,11,11,10,10,9,6,7,7,3,7,7,7,7,7,2,5,5,3,7,7,5,2,2,2,5,5,2,2,4,1,20,1,1,0,0,0,NA,60,26,38,31,29,52,15,21,9,9,69.81,20.4,106
